Molecule (RDKit Mol),SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42,cid,is_psychedelic
Cc1cc([C@@H]2CCCN2C)on1,1.74972,45.845,72.340392,29.27,166.224,166.110613,3,0,1,0,3,0,3,12,26,2,1,1,1,1,1,1,0,0,0,0.666667,7.578696,4.406219,3.509296,2.495057,1.810048,4.406219,3.509296,2.495057,1.810048,-0.83,7.800347,2.900808,1.245323,0.0,23.649001,0.0,6.923737,30.337659,10.589462,0.0,0.0,0.0,0.0,0.0,0.0,4.523095,0.0,10.056573,0.0,25.807221,13.592428,17.520542,0.0,0.0,0.0,4.523095,4.89991,0.0,0.0,0.0,5.156663,33.357809,6.066367,11.735769,0.0,5.760247,0.0,0.0,0.0,9,0,0,0,0,0,0,0,2,0,1,12,3,0,0,8,2,0,1,4,3,0,0,0,0,2,0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,unknown,1
O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,3.3737,119.675,181.538294,56.75,426.586,426.208947,6,0,6,0,6,2,7,30,60,5,2,3,3,1,2,2,1,1,1,0.608696,18.279479,12.164668,9.668667,7.885642,6.13634,11.391271,8.863693,7.068726,5.340603,-1.99,19.94302,8.631789,3.733776,4.89991,65.256257,9.589074,11.835812,38.52493,24.265468,0.0,10.086144,0.0,5.817863,0.0,11.532487,9.589074,0.0,14.173359,11.835812,38.52493,44.168448,24.265468,0.0,0.0,39.250853,4.89991,19.388894,0.0,4.37354,0.0,24.974377,55.893264,38.110006,16.535732,5.817863,0.0,11.814359,0.0,0.0,23,0,0,0,0,1,0,0,4,2,0,30,6,2,0,21,5,0,6,8,6,0,0,0,0,2,4,0,0,14,10,0,0,0,2,3,0,0,0,0,4,2,unknown,1
Cl.O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,3.7955,126.923,193.691388,56.75,463.047,462.185625,6,0,6,0,6,2,8,31,62,5,2,3,3,1,2,2,1,1,1,0.608696,19.504224,12.164668,9.668667,7.885642,6.13634,11.391271,8.863693,7.068726,5.340603,-1.7,22.492382,9.838973,4.453186,4.89991,65.256257,9.589074,11.835812,38.52493,24.265468,0.0,10.086144,0.0,5.817863,0.0,23.93952,9.589074,0.0,14.173359,11.835812,38.52493,44.168448,24.265468,0.0,0.0,51.657886,4.89991,19.388894,0.0,4.37354,12.407033,24.974377,55.893264,38.110006,16.535732,5.817863,0.0,11.814359,0.0,0.0,23,0,1,0,0,1,0,0,4,2,0,31,6,2,0,21,5,0,6,8,6,0,0,0,0,2,4,0,0,14,10,0,0,0,2,3,0,0,0,0,4,2,unknown,1
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,3.08132,113.5138,179.033531,84.39,426.492,426.206719,7,1,4,1,7,0,8,31,58,5,3,1,2,2,1,2,1,0,0,0.521739,17.681241,11.064631,8.722993,6.770435,4.976742,11.064631,8.722993,6.770435,4.976742,-2.58,20.329793,8.163634,3.784883,5.559267,44.348448,12.965578,12.740958,60.480871,27.516733,0.0,10.969244,0.0,4.390415,0.0,0.0,14.020037,0.0,19.607651,0.0,57.594474,19.634269,57.145838,0.0,0.0,10.969244,14.529532,9.361637,9.374394,0.0,0.0,5.156663,64.250092,41.71739,5.693928,17.745592,5.58302,0.0,5.559267,0.0,23,1,0,0,0,0,0,0,4,2,1,31,7,1,0,19,8,0,4,10,7,1,1,0,0,4,2,0,0,13,12,0,0,0,1,4,0,0,0,0,4,2,unknown,1
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)C1CCC(=O)O1,-1.3811,87.2658,149.002017,147.48,363.374,363.154269,10,4,6,3,6,3,10,26,47,3,1,2,2,1,2,2,0,0,0,0.5625,14.142411,8.523332,6.451348,4.634568,3.317513,8.523332,6.451348,4.634568,3.317513,-2.91,17.898393,7.543539,3.838655,11.050456,63.291116,30.335833,0.0,31.377214,12.524164,0.0,0.0,0.0,0.0,0.0,0.0,23.915012,0.0,20.184655,5.733667,50.291756,6.544756,18.218092,0.0,0.0,23.690844,25.671207,19.178149,4.983979,0.0,0.0,0.0,12.841643,37.697993,6.32732,12.083682,6.103966,11.814359,5.90718,5.969305,16,0,0,0,0,0,0,2,3,4,1,26,9,4,0,13,2,0,6,15,10,4,3,0,0,5,2,4,0,10,5,0,0,0,3,0,0,0,0,0,0,0,unknown,1
CC(C)c1ccc2c(c1)C(N1CCN(CCO)CC1)Cc1ccc(F)cc1S2,4.3074,112.5978,171.093745,26.71,400.563,400.198463,3,1,4,1,4,0,5,28,57,4,2,1,2,0,1,2,2,0,0,0.478261,17.5129,11.039213,9.210986,7.177429,5.413794,10.222716,8.127209,5.985777,4.273993,-1.4,19.896567,8.536719,4.129659,0.0,54.237011,6.420822,5.817221,42.497576,46.189169,0.0,0.0,0.0,4.390415,0.0,11.761885,9.496942,0.0,9.799819,0.0,42.01901,39.330664,58.905778,0.0,0.0,11.761885,5.106527,9.799819,4.390415,0.0,0.0,43.808461,47.228183,48.55659,6.606882,5.817221,0.0,0.0,0.0,0.0,23,1,0,0,0,1,0,0,2,1,0,28,8,0,0,17,6,0,4,4,3,1,1,0,0,4,2,1,0,12,9,0,0,0,0,3,1,0,0,0,4,2,unknown,1
Cc1ccc2c(c1)c1c3n2CCNC3CCC1.Cl,3.35212,77.6047,113.778087,16.96,262.784,262.123676,2,1,0,1,2,0,3,18,37,4,2,0,2,1,0,1,1,0,1,0.466667,11.516893,6.694181,5.434974,4.343747,3.628691,6.694181,5.434974,4.343747,3.628691,-0.99,12.064873,4.28605,1.521088,5.316789,11.111856,12.965578,6.923737,35.704315,18.199101,0.0,10.902925,0.0,0.0,0.0,12.407033,0.0,0.0,9.883888,0.0,38.772799,6.544756,35.019932,0.0,0.0,23.309958,9.883888,0.0,0.0,0.0,12.407033,11.629819,43.882388,35.728207,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,0,0,0,0,0,2,0,0,18,1,0,0,14,5,0,0,2,2,1,1,0,0,1,0,0,0,9,7,0,0,0,1,3,0,0,0,0,6,4,unknown,1
CCCN1CCO[C@H]2c3cc(O)ccc3OC[C@@H]21,1.9365,67.9468,107.120436,41.93,249.31,249.136493,4,1,2,1,4,0,4,18,37,3,1,1,2,0,1,2,1,0,0,0.571429,10.633209,6.606835,4.927841,3.71471,2.884796,6.606835,4.927841,3.71471,2.884796,-1.26,11.809343,4.782741,1.953742,4.736863,42.351555,4.736863,0.0,25.011977,18.199101,0.0,0.0,0.0,0.0,11.499024,0.0,14.580253,0.0,4.89991,0.0,25.490366,26.303277,23.762553,0.0,11.499024,0.0,14.580253,4.89991,0.0,0.0,0.0,6.923737,31.164679,12.108208,12.648723,24.209872,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,1,1,2,18,4,0,0,13,3,0,2,7,4,1,1,0,0,2,2,0,0,8,6,0,0,0,0,3,0,0,0,0,4,2,unknown,1
CCCCCCCCCCCCCCCC(=O)O.Cc1ccc2c(c1)[C@@]1(C)CN(C)CC[C@@]1(C)N2,8.32472,150.6205,215.814577,52.57,486.785,486.418529,4,2,14,2,3,0,4,35,89,3,1,1,2,0,1,2,1,0,0,0.774194,23.555542,14.513201,11.712414,8.47178,5.881406,14.513201,11.712414,8.47178,5.881406,-1.55,29.67885,14.875945,9.116103,5.316789,41.651852,10.209528,6.923737,128.210439,18.199101,0.0,0.0,0.0,5.687386,0.0,0.0,9.901065,0.0,4.89991,0.0,134.961189,25.453973,29.326004,0.0,0.0,11.656692,15.323226,4.794537,0.0,0.0,0.0,108.59352,45.366608,36.151636,0.0,0.0,0.0,0.0,0.0,5.969305,31,0,0,0,0,0,0,0,2,2,0,35,20,1,0,12,3,0,14,6,4,2,2,0,0,7,14,1,0,7,4,2,0,0,1,2,0,0,0,0,4,2,unknown,1
NC1(C(=O)O)CCC2C(C(=O)O)C21,-0.4909,41.894,74.533586,100.62,185.179,185.068808,5,4,2,3,3,0,5,13,24,2,0,2,2,0,0,0,0,2,2,0.75,6.934538,4.233289,3.937854,3.338047,2.593832,4.233289,3.937854,3.338047,2.593832,-1.1,8.496118,2.227454,0.904252,5.733667,27.690591,9.589074,17.753718,12.841643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.802129,0.0,0.0,23.487386,18.380568,0.0,0.0,0.0,0.0,11.938611,15.946722,9.589074,0.0,0.0,0.0,0.0,18.759549,5.917906,5.917906,5.538925,0.0,0.0,0.0,11.938611,8,0,0,0,0,0,0,1,0,4,0,13,5,2,0,7,0,0,2,9,5,4,3,0,0,5,0,2,0,2,3,1,1,0,1,0,0,0,0,0,2,1,unknown,1
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)NC[C@H](NC(=O)CCC(=O)O)c1ccccc1,4.8585,168.0626,262.229067,149.62,614.743,614.310435,10,5,12,5,5,3,10,45,87,7,3,4,4,1,0,0,2,4,4,0.485714,25.59002,16.047829,13.428573,10.051205,8.100355,16.047829,13.428573,10.051205,8.100355,-4.34,30.676159,12.94829,6.997064,15.950366,52.155059,25.541296,23.671624,69.038232,60.794147,0.0,10.902925,0.0,4.794537,0.0,0.0,29.021539,0.0,20.934344,23.671624,75.975043,6.544756,71.92105,0.0,0.0,34.77983,30.777735,14.383612,4.794537,0.0,0.0,48.530937,79.89274,36.486168,12.462662,11.642892,0.0,11.814359,0.0,12.062545,35,0,0,0,0,0,0,3,1,6,0,45,18,4,0,20,8,0,12,16,10,5,5,0,0,6,8,5,1,16,9,0,0,0,1,6,0,0,0,0,12,13,unknown,1
CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)NC[C@H](NC(=O)CCC(=O)O)c1ccccc1,1.5002,213.1023,337.310524,262.8,809.958,809.421108,16,11,18,11,11,3,16,58,117,7,3,4,4,1,0,0,2,4,4,0.571429,33.049703,20.066902,16.284705,11.789886,8.993449,20.066902,16.284705,11.789886,8.993449,-4.58,44.52168,20.40309,11.54227,21.267154,122.302872,25.541296,23.671624,69.038232,60.794147,0.0,10.902925,0.0,4.794537,0.0,0.0,54.554176,0.0,26.251133,23.671624,100.390908,26.744067,71.92105,0.0,0.0,34.77983,61.62716,14.383612,4.794537,0.0,0.0,48.530937,86.940412,43.030925,25.173511,29.954791,0.0,11.814359,0.0,12.062545,42,0,0,0,0,0,0,4,1,11,0,58,30,4,0,20,8,0,18,27,16,11,11,0,0,12,11,9,1,16,9,0,0,0,1,6,0,0,0,0,12,13,unknown,1
Cc1ccc2c(c1)[C@H]1CN(C)CC[C@H]1N2,2.20822,63.4447,91.284031,15.27,202.301,202.146999,2,1,0,1,2,0,2,15,33,3,1,1,2,0,1,2,1,0,0,0.538462,9.455285,5.794883,4.998947,3.763335,2.922925,5.794883,4.998947,3.763335,2.922925,-1.02,9.223654,3.239589,1.438726,5.316789,31.078935,0.0,6.923737,23.465631,18.199101,0.0,0.0,0.0,5.687386,0.0,0.0,0.0,0.0,4.89991,0.0,25.304306,25.453973,29.326004,0.0,0.0,5.687386,10.216698,0.0,0.0,0.0,0.0,17.696186,38.566806,24.19189,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,2,0,0,15,2,0,0,12,3,0,0,2,2,1,1,0,0,2,0,0,0,7,6,0,0,0,1,2,0,0,0,0,4,2,unknown,1
Cc1ccc2c(c1)[C@H]1CN(C)CC[C@H]1N2.Cl.Cl,3.05182,77.9407,115.590218,15.27,275.223,274.100354,2,1,0,1,2,0,4,17,37,3,1,1,2,0,1,2,1,0,0,0.538462,11.904775,5.794883,4.998947,3.763335,2.922925,5.794883,4.998947,3.763335,2.922925,-0.44,14.620386,5.468593,2.5403,5.316789,31.078935,0.0,6.923737,23.465631,18.199101,0.0,0.0,0.0,5.687386,0.0,24.814066,0.0,0.0,4.89991,0.0,25.304306,25.453973,29.326004,0.0,0.0,30.501453,10.216698,0.0,0.0,0.0,24.814066,17.696186,38.566806,24.19189,0.0,0.0,0.0,0.0,0.0,0.0,13,0,2,0,0,0,0,0,2,0,0,17,2,0,0,12,3,0,0,2,2,1,1,0,0,2,0,0,0,7,6,0,0,0,1,2,0,0,0,0,4,2,unknown,1
OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,2.3906,91.2368,145.486471,52.49,348.397,348.176168,5,1,6,1,5,0,7,25,47,3,2,1,1,1,1,1,1,0,0,0.444444,13.983196,8.500161,6.239549,4.468515,3.000083,8.500161,6.239549,4.468515,3.000083,-2.12,17.694973,8.310392,4.930225,4.89991,52.698176,0.0,11.634442,24.509061,36.659155,0.0,0.0,0.0,14.729169,0.0,0.0,13.887357,0.0,14.867867,0.0,18.94561,37.623692,53.857049,0.0,0.0,5.948339,10.006437,4.89991,18.748787,0.0,0.0,12.132734,37.082585,26.179026,18.497654,5.817221,5.817221,5.948339,0.0,0.0,18,2,0,0,0,0,0,0,4,1,0,25,9,0,0,12,6,0,6,6,5,1,1,0,0,3,3,1,0,12,6,0,0,0,0,3,0,0,0,0,0,0,unknown,1
Cc1nnc2ccc(-c3cccc(C(F)(F)F)c3)nn12,3.11852,65.957,111.428999,43.08,278.237,278.077931,4,0,1,0,4,0,7,20,29,3,3,0,0,2,0,0,1,0,0,0.153846,10.386849,5.817032,4.314353,2.904381,1.904959,5.817032,4.314353,2.904381,1.904959,-2.44,12.586572,4.293118,2.107753,0.0,19.811443,6.176299,6.923737,11.387856,36.398202,0.0,16.904557,0.0,13.171245,0.0,0.0,13.171245,0.0,19.811443,0.0,13.100036,0.0,47.786058,0.0,11.257379,5.647177,0.0,0.0,0.0,22.785325,10.197364,12.132734,31.189205,5.563451,11.257379,0.0,11.471582,0.0,0.0,6.176299,13,3,0,0,0,0,0,0,4,0,0,20,6,0,0,8,8,0,1,4,4,0,0,0,0,4,0,0,1,9,6,0,0,0,1,2,0,0,0,0,2,1,unknown,1
CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,3.9802,89.8448,135.888763,23.47,313.828,313.123342,2,1,0,1,2,0,3,22,42,4,2,0,2,0,0,1,2,0,1,0.368421,13.47555,8.320283,6.922749,5.630826,4.366344,7.942319,6.515548,5.328093,4.180083,-1.51,14.105861,5.290219,2.133392,0.0,29.640706,12.841643,0.0,34.592534,36.398202,5.022633,0.0,0.0,0.0,5.749512,11.60094,5.106527,0.0,4.89991,0.0,31.222212,13.592428,63.674642,0.0,5.749512,11.60094,10.006437,0.0,0.0,0.0,0.0,35.866408,60.696677,18.504503,5.022633,5.749512,0.0,0.0,0.0,0.0,19,0,1,0,0,0,0,0,1,1,0,22,3,0,0,16,6,0,0,3,2,1,1,0,0,3,0,0,0,10,9,0,0,0,0,3,1,0,0,0,6,3,unknown,1
N#CC(c1ccccc1)c1ccc(N)cc1Cl,3.57768,69.7624,105.254118,49.81,242.709,242.061076,2,2,2,1,2,0,3,17,28,2,2,0,0,0,0,0,2,0,0,0.071429,9.85461,5.593972,4.160946,2.924844,2.044717,5.216007,3.753746,2.597517,1.746626,-1.98,11.50379,4.901572,2.405261,5.733667,0.0,0.0,11.331113,17.044809,48.530937,5.022633,0.0,0.0,5.687386,0.0,11.60094,0.0,5.261892,0.0,0.0,5.917906,5.733667,64.680473,0.0,6.069221,17.288326,5.733667,0.0,0.0,5.261892,0.0,47.999142,23.259637,10.71002,11.987127,0.0,0.0,0.0,0.0,0.0,14,0,1,0,0,0,0,2,0,0,0,17,5,0,1,6,6,0,2,2,2,2,1,0,0,3,1,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0,unknown,1
C=CCN1CCc2nc(N)sc2CC1.Cl.Cl,2.1555,75.0674,112.556486,42.15,282.24,281.052024,3,2,2,1,4,0,6,16,33,2,1,0,1,1,0,1,0,0,0,0.5,11.466003,5.68292,4.626457,3.48859,2.661744,4.866424,3.511257,2.502016,1.794588,-0.29,15.71,7.117285,3.627297,5.733667,29.518157,12.841643,0.0,10.571075,12.654956,0.0,0.0,0.0,5.131558,0.0,36.150852,0.0,0.0,9.883888,0.0,12.841643,25.367937,23.226031,0.0,0.0,41.282411,5.733667,4.89991,4.983979,0.0,42.729788,6.07602,6.420822,30.932238,5.693928,0.0,5.131558,0.0,0.0,0.0,10,0,2,0,0,1,0,1,2,0,0,16,3,1,0,9,2,0,2,3,3,2,1,0,0,2,2,0,0,6,4,0,0,0,1,0,1,0,0,0,2,1,unknown,1
CCNC1C2CCC(C2)C1c1ccccc1.Cl,3.6,74.7267,110.407175,12.03,251.801,251.144077,1,1,3,1,1,0,2,17,39,3,1,2,2,0,0,0,1,2,2,0.6,11.249324,6.681687,5.35314,4.540676,3.975592,6.681687,5.35314,4.540676,3.975592,-0.53,12.914822,5.409529,2.231018,5.316789,12.586597,0.0,11.835812,37.66756,30.331835,0.0,0.0,0.0,0.0,0.0,12.407033,0.0,0.0,5.316789,11.835812,38.145949,6.544756,35.895287,0.0,0.0,12.407033,5.316789,0.0,0.0,0.0,12.407033,37.255573,43.206485,11.959747,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,0,0,0,0,1,0,0,0,17,4,0,0,11,3,0,3,1,1,1,1,0,0,1,2,0,0,8,5,0,0,0,2,1,0,0,0,0,3,2,unknown,1
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)CO)CC[C@@H]12,3.5676,93.3166,145.764758,57.53,334.5,334.250795,3,2,2,2,3,0,3,24,58,4,0,4,4,0,0,0,0,4,4,0.952381,15.337845,10.21524,9.883991,9.182584,7.874562,10.21524,9.883991,9.182584,7.874562,-0.41,17.026435,5.805054,2.263537,0.0,28.707148,4.794537,40.419511,71.634869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007592,0.0,0.0,40.419511,77.738835,6.606882,0.0,0.0,0.0,5.783245,10.213055,4.794537,0.0,0.0,0.0,13.847474,92.289,5.917906,6.103966,6.606882,5.783245,0.0,0.0,0.0,21,0,0,0,0,0,0,0,0,3,0,24,6,1,0,20,0,0,2,6,3,2,2,0,0,5,1,1,0,9,6,2,0,0,1,3,0,0,0,0,6,3,unknown,1
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,-0.0129,60.1274,99.721134,78.51,239.275,239.126991,6,2,2,2,4,4,6,17,34,2,0,2,2,0,2,2,0,0,0,0.727273,9.914599,6.029095,4.498908,3.612955,2.654946,6.029095,4.498908,3.612955,2.654946,-1.43,12.038232,4.444357,1.819543,10.633577,41.373822,9.589074,0.0,32.607024,0.0,0.0,0.0,0.0,4.794537,0.0,0.0,14.383612,0.0,15.533487,0.0,38.145949,13.089513,0.0,0.0,0.0,17.845474,0.0,25.122561,4.794537,0.0,0.0,13.344559,32.351978,0.0,0.0,0.0,5.538925,0.0,11.814359,6.031115,11,0,0,0,0,0,0,0,3,3,0,17,3,3,0,12,0,0,2,9,6,2,2,0,0,4,1,0,0,7,4,1,0,0,0,2,0,0,0,0,0,0,unknown,1
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=S(=O)(O)CCS(=O)(=O)O,3.3422,140.4082,216.095237,118.46,564.151,563.098526,9,2,7,2,8,0,13,35,65,4,2,1,2,0,1,2,2,0,0,0.454545,22.582602,15.476365,13.068385,8.702794,6.705284,11.063574,8.404018,5.638947,3.777887,-1.38,28.19537,12.239726,9.21187,4.89991,93.562831,20.236254,0.0,6.420822,52.255536,5.022633,0.0,0.0,11.374773,0.0,23.362825,25.941094,0.0,9.799819,0.0,16.211789,62.721827,47.487203,0.0,0.0,54.973851,14.699729,9.1055,0.0,16.835594,0.0,35.495559,50.345085,47.537382,22.88048,0.0,0.0,0.0,20.236254,0.0,22,0,1,0,0,3,0,0,3,6,0,35,11,4,0,16,6,0,7,15,9,2,2,0,0,8,5,0,2,12,8,0,0,0,0,4,0,0,0,0,4,2,unknown,1
O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,1.4099,104.45,165.653936,69.64,383.496,383.232125,7,0,6,0,6,2,7,28,57,5,1,4,4,1,2,2,0,2,2,0.714286,16.372191,10.817057,8.797479,7.332084,5.922182,10.817057,8.797479,7.332084,5.922182,-2.02,18.036853,7.426434,3.093576,4.89991,70.850674,9.589074,23.671624,32.104108,18.460054,0.0,0.0,0.0,5.948339,0.0,0.0,9.589074,0.0,19.767777,23.671624,32.104108,44.168448,18.460054,0.0,0.0,17.762699,4.89991,19.388894,9.967957,0.0,0.0,0.0,56.551044,45.117469,11.835812,0.0,0.0,17.762699,0.0,0.0,21,0,0,0,0,0,0,0,5,2,0,28,6,2,0,21,3,0,6,9,7,0,0,0,0,2,4,0,0,12,10,0,0,0,3,2,0,0,0,0,5,3,unknown,1
c1cnc(N2CCNCC2)nc1,-0.1138,47.1147,71.634332,41.05,164.212,164.106196,4,1,1,1,4,0,4,12,24,2,1,1,1,1,1,1,0,0,0,0.5,6.902119,4.193447,2.78584,1.951981,1.319357,4.193447,2.78584,1.951981,1.319357,-1.16,7.487142,3.491659,1.530815,10.216698,36.146983,0.0,0.0,0.0,18.460054,0.0,0.0,0.0,5.948339,0.0,0.0,0.0,0.0,15.284746,0.0,0.0,31.078935,18.460054,0.0,0.0,5.948339,10.216698,0.0,9.967957,0.0,0.0,0.0,6.066367,38.572713,0.0,0.0,0.0,5.948339,0.0,0.0,8,0,0,0,0,0,0,0,4,0,0,12,1,0,0,9,3,0,1,4,4,1,1,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,unknown,1
CCCC(CCC)C(=O)[O-].CCCC(CCC)C(=O)[O-].[Ca+2],1.5246,82.38,159.246494,80.26,326.49,326.177,4,0,10,0,4,0,5,21,51,0,0,0,0,0,0,0,0,0,0,0.875,16.360024,7.855267,5.186619,3.215214,2.153927,7.855267,5.186619,3.215214,2.153927,0.19974,26.115102,18.249246,16.397763,10.213055,49.676845,9.589074,11.835812,79.061522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.802129,0.0,0.0,11.835812,79.061522,0.0,0.0,0.0,0.0,49.676845,19.802129,0.0,0.0,0.0,0.0,53.378235,37.519099,11.938611,0.0,0.0,0.0,0.0,0.0,37.738235,16,0,0,0,0,0,0,0,0,4,0,21,16,2,0,0,0,0,10,10,4,0,0,2,1,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1
COc1cc(CC(C)N)c(OC)cc1C,1.90192,61.6364,91.188037,44.48,209.289,209.141579,3,2,4,1,3,0,3,15,34,1,1,0,0,0,0,0,1,0,0,0.5,9.833004,5.051931,3.815084,2.339789,1.62001,5.051931,3.815084,2.339789,1.62001,-1.22,11.852569,5.028405,2.861943,15.207393,20.261436,6.420822,6.923737,18.05064,12.132734,0.0,0.0,0.0,0.0,11.499024,0.0,9.473726,0.0,0.0,5.733667,26.310137,14.219595,23.259637,0.0,11.499024,0.0,15.207393,0.0,0.0,0.0,0.0,0.0,43.527933,6.041841,14.219595,11.499024,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,1,0,2,0,15,9,0,0,3,3,0,4,5,3,2,1,0,0,5,3,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0,unknown,1
COc1cc(CC(C)N)c(OC)cc1C.Cl,2.32372,68.8844,103.34113,44.48,245.75,245.118257,3,2,4,1,3,0,4,16,36,1,1,0,0,0,0,0,1,0,0,0.5,11.057749,5.051931,3.815084,2.339789,1.62001,5.051931,3.815084,2.339789,1.62001,-0.93,15.07,6.609124,3.577626,15.207393,20.261436,6.420822,6.923737,18.05064,12.132734,0.0,0.0,0.0,0.0,11.499024,12.407033,9.473726,0.0,0.0,5.733667,26.310137,14.219595,23.259637,0.0,11.499024,12.407033,15.207393,0.0,0.0,0.0,12.407033,0.0,43.527933,6.041841,14.219595,11.499024,0.0,0.0,0.0,0.0,12,0,1,0,0,0,0,1,0,2,0,16,9,0,0,3,3,0,4,5,3,2,1,0,0,5,3,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0,unknown,1
C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,4.2218,83.0096,118.887411,40.46,266.34,266.13068,2,2,5,2,2,0,2,20,38,2,2,0,0,0,0,0,2,0,0,0.111111,11.341656,6.513381,4.680591,3.195755,2.180092,6.513381,4.680591,3.195755,2.180092,-2.48,13.940303,6.109872,2.912171,0.0,10.213055,12.841643,0.0,11.126903,61.708114,0.0,11.126903,0.0,0.0,11.499024,0.0,10.213055,0.0,0.0,0.0,12.841643,0.0,72.835017,0.0,22.625927,0.0,10.213055,0.0,0.0,0.0,13.157871,24.284774,53.797466,5.563451,0.0,11.499024,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,2,0,20,7,2,0,6,6,0,5,4,2,2,2,0,0,4,4,0,0,6,6,0,0,0,0,2,0,0,0,0,0,0,unknown,1
COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,3.3765,99.651,153.975329,40.16,355.434,355.178358,5,0,4,0,5,0,5,26,51,4,2,0,2,0,0,2,2,0,0,0.428571,15.795385,8.913112,6.785151,5.633412,4.316024,8.913112,6.785151,5.633412,4.316024,-2.4,17.035921,6.723967,2.580451,18.947452,39.883856,19.3864,0.0,28.295647,24.265468,0.0,0.0,0.0,0.0,22.998047,0.0,18.947452,0.0,4.89991,0.0,25.42824,34.983947,46.519274,0.0,22.998047,0.0,18.947452,4.89991,0.0,0.0,0.0,6.066367,47.731099,24.694805,28.43919,0.0,22.998047,0.0,0.0,0.0,21,0,0,0,0,0,0,0,1,4,0,26,8,0,0,15,6,0,4,9,5,0,0,0,0,4,4,0,0,8,10,0,0,0,0,4,0,0,0,0,6,3,unknown,1
